"","Initial","Untreated","Treated","days_to_removed","relative_activity","percent_change","fvfm","CBASS_temp"
"1",1,0,0,NA,NA,161.306532663317,0.449,33
"2",1,0,0,NA,NA,76.1467889908257,0.575,35
"3",1,0,0,NA,NA,8.86075949367089,0.106,37
"4",1,0,0,9,NA,44.9172576832151,0.498,32
"5",1,0,0,9,NA,49.3261455525606,0.454,32
"6",1,0,0,NA,NA,57.6576576576577,0.402,32
"7",0,0,1,NA,-60.2091910537443,0.441501103752759,0.599,33
"8",1,0,0,2,NA,34.0116279069767,0.45,30
"9",0,0,1,NA,-61.5705573980957,44.3324937027708,0.514,34
"10",0,0,1,NA,-59.4308334224885,14.4963144963145,0.514,35
"11",1,0,0,NA,NA,29.4979079497908,0.14,37
"12",1,0,0,NA,NA,16.5631469979296,0.455,28
"13",1,0,0,NA,NA,5.0185873605948,0,37
"14",1,0,0,11,NA,29.8013245033113,0.523,28
"15",0,1,0,NA,-60.5862843693164,99.3710691823899,0.259,36
"16",0,1,0,NA,-66.8770728576014,227.669902912621,0.411,32
"17",0,0,1,NA,-62.3836525088264,20.9718670076726,0.342,36
"18",1,0,0,NA,NA,40.4522613065327,0.502,28
"19",1,0,0,NA,NA,10.5154639175258,0.475,33
"20",0,0,1,NA,-50.8455467869222,34.9765258215962,0.218,36
"21",0,0,1,NA,-62.5548304268749,67.0454545454545,0.498,33
"22",1,0,0,NA,NA,38.8324873096447,0.413,34
"23",1,0,0,NA,NA,43.6260623229462,0.456,33
"24",0,1,0,NA,-61.8940248027058,151.03734439834,0.451,33
"25",1,0,0,9,NA,48.1108312342569,0.572,33
"27",1,0,0,9,NA,67.2823218997361,0.475,30
"28",1,0,0,NA,NA,7.08812260536398,0.376,32
"29",0,0,1,12,-56.0315670800451,11.5384615384615,0.525,28
"30",0,1,0,NA,-54.7662351556649,31.6049382716049,0.452,35
"31",1,0,0,3,NA,26.4516129032258,0.5,33
"32",0,1,0,NA,-49.6617812852311,78.7878787878788,0.157,36
"33",1,0,0,NA,NA,32.4009324009324,0.515,35
"34",1,0,0,4,NA,119.087136929461,0.386,34
"35",0,0,1,NA,-52.0293122886133,28.5433070866142,0.278,36
"36",0,1,0,NA,-57.0462232243517,130.331753554502,0.474,32
"37",0,1,0,4,-53.8331454340473,60.7792207792208,0.467,32
"38",1,0,0,9,NA,132.178217821782,0.489,32
"39",0,0,1,NA,-58.1172805163013,51.4450867052023,0.507,32
"40",1,0,0,NA,NA,1.47679324894515,0.497,28
"41",0,0,1,11,-52.9312288613303,31.758530183727,0.506,34
"42",0,1,0,NA,-53.0544559751792,32.0481927710843,0.153,37
"43",0,1,0,NA,-59.4525425614777,18.5416666666667,0.488,35
"44",1,0,0,NA,NA,39.9470899470899,0.474,35
